"study_number","bacteria_genus"
"35","Vibrio"
"37","Vibrio"
"47","Vibrio"
"49","Vibrio"
"51","Vibrio"
"75","Vibrio"
"76","Vibrio"
"80","Vibrio"
"87","Vibrio"
"96","Vibrio"
"100","Vibrio"
"103","Vibrio"
"104","Vibrio"
"108","Vibrio"
"113","Vibrio"
"116","Vibrio"
"118","Vibrio"
"123","Vibrio"
"153","Vibrio"
"158","Vibrio"
"161","Vibrio"
"164","Vibrio"
"167","Vibrio"
"173","Vibrio"
"182","Vibrio"
"192","Vibrio"
"213","Vibrio"
"220","Vibrio"
"225","Vibrio"
"226","Vibrio"
"231","Vibrio"
"236","Vibrio"
"241","Vibrio"
"248","Vibrio"
"263","Vibrio"
"275","Vibrio"
"276","Vibrio"
"302","Vibrio"
"306","Vibrio"
"309","Vibrio"
"315","Vibrio"
"323","Vibrio"
"324","Vibrio"
"328","Vibrio"
"329","Vibrio"
"330","Vibrio"
"332","Vibrio"
"344","Vibrio"
"351","Vibrio"
"354","Vibrio"
"355","Vibrio"
"359","Vibrio"
"369","Vibrio"
"370","Vibrio"
"371","Vibrio"
"373","Vibrio"
"374","Vibrio"
"80","Escherichia"
"82","Escherichia"
"85","Escherichia"
"101","Escherichia"
"106","Escherichia"
"121","Escherichia"
"127","Escherichia"
"128","Escherichia"
"131","Escherichia"
"173","Escherichia"
"185","Escherichia"
"206","Escherichia"
"226","Escherichia"
"231","Escherichia"
"236","Escherichia"
"280","Escherichia"
"305","Escherichia"
"311","Escherichia"
"316","Escherichia"
"321","Escherichia"
"371","Escherichia"
"65","Salmonella"
"80","Salmonella"
"83","Salmonella"
"85","Salmonella"
"104","Salmonella"
"112","Salmonella"
"161","Salmonella"
"167","Salmonella"
"173","Salmonella"
"187","Salmonella"
"195","Salmonella"
"198","Salmonella"
"204","Salmonella"
"227","Salmonella"
"231","Salmonella"
"280","Salmonella"
"323","Salmonella"
"327","Salmonella"
"358","Salmonella"
"371","Salmonella"
"69","Staphylococcus"
"76","Staphylococcus"
"80","Staphylococcus"
"82","Staphylococcus"
"83","Staphylococcus"
"85","Staphylococcus"
"127","Staphylococcus"
"136","Staphylococcus"
"167","Staphylococcus"
"231","Staphylococcus"
"274","Staphylococcus"
"315","Staphylococcus"
"323","Staphylococcus"
"326","Staphylococcus"
"339","Staphylococcus"
"341","Staphylococcus"
"344","Staphylococcus"
"352","Staphylococcus"
"68","Listeria"
"80","Listeria"
"85","Listeria"
"92","Listeria"
"97","Listeria"
"124","Listeria"
"150","Listeria"
"154","Listeria"
"167","Listeria"
"173","Listeria"
"174","Listeria"
"180","Listeria"
"211","Listeria"
"256","Listeria"
"157","Aeromonas"
"175","Aeromonas"
"206","Aeromonas"
"212","Aeromonas"
"219","Aeromonas"
"223","Aeromonas"
"236","Aeromonas"
"239","Aeromonas"
"309","Aeromonas"
"321","Aeromonas"
"323","Aeromonas"
"334","Aeromonas"
"82","Pseudomonas"
"127","Pseudomonas"
"277","Pseudomonas"
"315","Pseudomonas"
"321","Pseudomonas"
"323","Pseudomonas"
"334","Pseudomonas"
"76","Bacillus"
"80","Bacillus"
"127","Bacillus"
"235","Bacillus"
"236","Bacillus"
"341","Bacillus"
"127","Klebsiella"
"131","Klebsiella"
"236","Klebsiella"
"305","Klebsiella"
"321","Klebsiella"
"371","Klebsiella"
"80","Clostridium"
"83","Clostridium"
"89","Clostridium"
"170","Clostridium"
"264","Streptococcus"
"300","Streptococcus"
"334","Streptococcus"
"341","Streptococcus"
"36","Arcobacter"
"135","Arcobacter"
"281","Arcobacter"
"305","Enterobacter"
"321","Enterobacter"
"341","Enterobacter"
"82","Enterococcus"
"295","Enterococcus"
"323","Enterococcus"
"80","Campylobacter"
"173","Campylobacter"
"127","Citrobacter"
"321","Citrobacter"
"26","Mycobacterium"
"173","Shigella"
"231","Shigella"
"341","Brevundimonas"
"236","Burkholderia"
"315","Carnobacterium"
"235","Cetobacterium"
"325","Cronobacter"
"341","Exiguobacterium"
"235","Fusobacterium"
"341","Lactococcus"
"341","Lysinibacillus"
"321","Morganella"
"321","Proteus"
"127","Providencia"
"277","Psychrobacter"
"248","Pseudoalteromonas"
"341","Stutzerimonas"
"235","Weissella"
