"region","number_of_studies"
"China",75
"India",37
"Mixed",37
"Spain",21
"Italy",20
"South Korea",13
"USA",13
"Malaysia",10
"Nigeria",7
"Vietnam",7
"Brazil",6
"Indonesia",6
"Iran",6
"Japan",6
"Portugal",6
"Thailand",6
"France",5
"Germany",5
"Taiwan",5
"Turkey",4
"Adriatic Sea",3
"Egypt",3
"Greece",3
"Mediterranean Sea",3
"New Zealand",3
"Tunisia",3
"Australia",2
"Bangladesh",2
"Cambodia",2
"Canada",2
"Iceland",2
"Mauritius",2
"Mexico",2
"Norway",2
"Persian Gulf",2
"Philippines",2
"Poland",2
"Senegal",2
"Serbia",2
"South Africa",2
"United Kingdom",2
"Algeria",1
"Bay of Bengal",1
"Chile",1
"Croatia",1
"Czech Republic",1
"Ecuador",1
"Ghana",1
"Greenland",1
"Gulf of Mannar",1
"Gulf of Thailand",1
"Hungary",1
"Iraq",1
"Ireland",1
"Israel",1
"Kazakhstan",1
"Kuwait",1
"Malawi",1
"Malta",1
"Menorca",1
"Netherlands",1
"Not specified",1
"Oman",1
"Pacific Coast",1
"Qatar",1
"Romania",1
"Saudi Arabia",1
"Scotland",1
"Sea of Sardinia",1
"Singapore",1
"Slovakia",1
"Sweden",1
"Switzerland",1
"Tanzania",1
