"commodity_group","contaminant","number_of_studies"
"Mussel","Organic Contaminant",38
"Clam/Cockle","Pathogens",37
"Oyster","Pathogens",35
"Clam/Cockle","Heavy Metal",32
"Seabass/Sea Bream","Heavy Metal",32
"Clam/Cockle","Organic Contaminant",30
"Mussel","Pathogens",30
"Salmon","Organic Contaminant",28
"Seabass/Sea Bream","Organic Contaminant",28
"Mussel","Heavy Metal",26
"Salmon","Pathogens",25
"Oyster","Organic Contaminant",21
"Shrimp/Prawn","Pathogens",21
"Catfish","Heavy Metal",19
"Crab","Organic Contaminant",19
"Seabass/Sea Bream","Pathogens",19
"Cyprinids (Carp/Minnows)","Heavy Metal",18
"Mullet","Heavy Metal",18
"Mullet","Organic Contaminant",18
"Oyster","Heavy Metal",18
"Shrimp/Prawn","Organic Contaminant",17
"Other or Not Otherwise Grouped Aquatic Foods","Heavy Metal",16
"Tilapia","Pathogens",16
"Whelk/Abalone/Other Gastropods","Heavy Metal",16
"Salmon","Heavy Metal",15
"Cyprinids (Carp/Minnows)","Organic Contaminant",13
"Shrimp/Prawn","Heavy Metal",13
"Tilapia","Heavy Metal",13
"Catfish","Pathogens",12
"Crab","Heavy Metal",12
"Lobster/Crayfish","Organic Contaminant",12
"Other or Not Otherwise Grouped Aquatic Foods","Pathogens",12
"Scallop","Heavy Metal",12
"Catfish","Organic Contaminant",11
"Mussel","Microplastics",11
"Other or Not Otherwise Grouped Aquatic Foods","Organic Contaminant",11
"Scallop","Organic Contaminant",11
"Seabass/Sea Bream","Microplastics",11
"Tilapia","Organic Contaminant",11
"Mussel","Biotoxin",10
"Scallop","Pathogens",10
"Whelk/Abalone/Other Gastropods","Organic Contaminant",10
"Cyprinids (Carp/Minnows)","Pathogens",9
"Whelk/Abalone/Other Gastropods","Pathogens",8
"Clam/Cockle","Biotoxin",7
"Clam/Cockle","Microplastics",7
"Crab","Pathogens",7
"Lobster/Crayfish","Heavy Metal",7
"Oyster","Microplastics",7
"Perch/Sunfish","Heavy Metal",7
"Seaweed/Algae","Heavy Metal",7
"Mullet","Pathogens",6
"Perch/Sunfish","Organic Contaminant",6
"Perch/Sunfish","Pathogens",6
"Croaker/Drum","Heavy Metal",5
"Flatfish","Organic Contaminant",5
"Lobster/Crayfish","Pathogens",5
"Scallop","Biotoxin",5
"Sea cucumber/Urchin","Heavy Metal",5
"Jack/Scad","Heavy Metal",4
"Sea cucumber/Urchin","Organic Contaminant",4
"Seaweed/Algae","Pathogens",4
"Snakehead","Organic Contaminant",4
"Trout","Organic Contaminant",4
"Catfish","Microplastics",3
"Clam/Cockle","Nanoparticle",3
"Cod","Heavy Metal",3
"Cod","Pathogens",3
"Croaker/Drum","Organic Contaminant",3
"Cyprinids (Carp/Minnows)","Antimicrobials",3
"Eel","Pathogens",3
"Oyster","Biotoxin",3
"Pomfret","Heavy Metal",3
"Pomfret","Organic Contaminant",3
"Scallop","Microplastics",3
"Sea cucumber/Urchin","Pathogens",3
"Seabass/Sea Bream","Antimicrobials",3
"Snakehead","Heavy Metal",3
"Snakehead","Pathogens",3
"Snapper","Heavy Metal",3
"Snapper","Organic Contaminant",3
"Tilapia","Antimicrobials",3
"Catfish","Antimicrobials",2
"Crab","Biotoxin",2
"Crab","Microplastics",2
"Cyprinids (Carp/Minnows)","Biotoxin",2
"Cyprinids (Carp/Minnows)","Microplastics",2
"Eel","Organic Contaminant",2
"Jack/Scad","Pathogens",2
"Other or Not Otherwise Grouped Aquatic Foods","Microplastics",2
"Perch/Sunfish","Microplastics",2
"Salmon","Antimicrobials",2
"Sea cucumber/Urchin","Biotoxin",2
"Shrimp/Prawn","Biotoxin",2
"Trout","Heavy Metal",2
"Trout","Pathogens",2
"Whelk/Abalone/Other Gastropods","Biotoxin",2
"Whelk/Abalone/Other Gastropods","Microplastics",2
"Crab","Antimicrobials",1
"Croaker/Drum","Pathogens",1
"Eel","Heavy Metal",1
"Flatfish","Biotoxin",1
"Flatfish","Heavy Metal",1
"Flatfish","Pathogens",1
"Jack/Scad","Organic Contaminant",1
"Mullet","Microplastics",1
"Mussel","Nanoparticle",1
"Other or Not Otherwise Grouped Aquatic Foods","Antimicrobials",1
"Other or Not Otherwise Grouped Aquatic Foods","Biotoxin",1
"Oyster","Nanoparticle",1
"Pomfret","Microplastics",1
"Salmon","Microplastics",1
"Scallop","Nanoparticle",1
"Seabass/Sea Bream","Biotoxin",1
"Shrimp/Prawn","Antimicrobials",1
"Shrimp/Prawn","Microplastics",1
"Snakehead","Antimicrobials",1
"Snakehead","Microplastics",1
"Snapper","Biotoxin",1
"Tilapia","Biotoxin",1
