"contaminant","region","number_of_studies"
"Pathogens","India",32
"Organic Contaminant","China",28
"Heavy Metal","China",22
"Organic Contaminant","Mixed",15
"Pathogens","Mixed",13
"Pathogens","China",11
"Organic Contaminant","Spain",10
"Heavy Metal","Mixed",8
"Heavy Metal","Italy",7
"Microplastics","China",7
"Organic Contaminant","Italy",7
"Pathogens","South Korea",7
"Organic Contaminant","USA",6
"Pathogens","Japan",6
"Biotoxin","China",5
"Heavy Metal","India",5
"Heavy Metal","Malaysia",5
"Heavy Metal","Spain",5
"Organic Contaminant","South Korea",5
"Heavy Metal","Brazil",4
"Heavy Metal","USA",4
"Microplastics","Mixed",4
"Pathogens","Germany",4
"Pathogens","Italy",4
"Pathogens","Malaysia",4
"Pathogens","Nigeria",4
"Pathogens","Thailand",4
"Pathogens","Vietnam",4
"Antimicrobials","China",3
"Biotoxin","Mixed",3
"Heavy Metal","France",3
"Heavy Metal","Taiwan",3
"Microplastics","Spain",3
"Nanoparticle","China",3
"Pathogens","Iran",3
"Pathogens","Spain",3
"Biotoxin","Adriatic Sea",2
"Heavy Metal","Australia",2
"Heavy Metal","Bangladesh",2
"Heavy Metal","Indonesia",2
"Heavy Metal","Iran",2
"Heavy Metal","Mediterranean Sea",2
"Heavy Metal","Nigeria",2
"Heavy Metal","Poland",2
"Heavy Metal","Portugal",2
"Heavy Metal","Serbia",2
"Heavy Metal","Turkey",2
"Microplastics","Portugal",2
"Microplastics","Thailand",2
"Organic Contaminant","Iran",2
"Organic Contaminant","Vietnam",2
"Pathogens","Cambodia",2
"Pathogens","Egypt",2
"Pathogens","Greece",2
"Pathogens","Indonesia",2
"Pathogens","Mauritius",2
"Pathogens","Mexico",2
"Pathogens","New Zealand",2
"Pathogens","Norway",2
"Pathogens","Turkey",2
"Pathogens","USA",2
"Pathogens","United Kingdom",2
"Antimicrobials","Brazil",1
"Antimicrobials","Iraq",1
"Antimicrobials","Italy",1
"Antimicrobials","Nigeria",1
"Antimicrobials","Portugal",1
"Antimicrobials","USA",1
"Biotoxin","France",1
"Biotoxin","Indonesia",1
"Biotoxin","Italy",1
"Biotoxin","Not specified",1
"Biotoxin","Scotland",1
"Biotoxin","South Korea",1
"Biotoxin","Tunisia",1
"Heavy Metal","Croatia",1
"Heavy Metal","Germany",1
"Heavy Metal","Ghana",1
"Heavy Metal","Gulf of Mannar",1
"Heavy Metal","Hungary",1
"Heavy Metal","Ireland",1
"Heavy Metal","Kazakhstan",1
"Heavy Metal","Kuwait",1
"Heavy Metal","Malta",1
"Heavy Metal","New Zealand",1
"Heavy Metal","Oman",1
"Heavy Metal","Pacific Coast",1
"Heavy Metal","Philippines",1
"Heavy Metal","Romania",1
"Heavy Metal","Senegal",1
"Heavy Metal","Tanzania",1
"Heavy Metal","Tunisia",1
"Heavy Metal","Vietnam",1
"Microplastics","Adriatic Sea",1
"Microplastics","Bay of Bengal",1
"Microplastics","Brazil",1
"Microplastics","Canada",1
"Microplastics","Ecuador",1
"Microplastics","Gulf of Thailand",1
"Microplastics","Indonesia",1
"Microplastics","Persian Gulf",1
"Microplastics","Philippines",1
"Microplastics","Romania",1
"Microplastics","Taiwan",1
"Microplastics","Tunisia",1
"Nanoparticle","Italy",1
"Organic Contaminant","Chile",1
"Organic Contaminant","Czech Republic",1
"Organic Contaminant","Egypt",1
"Organic Contaminant","Greece",1
"Organic Contaminant","Greenland",1
"Organic Contaminant","Iceland",1
"Organic Contaminant","Malaysia",1
"Organic Contaminant","Menorca",1
"Organic Contaminant","Nigeria",1
"Organic Contaminant","Pacific Coast",1
"Organic Contaminant","Portugal",1
"Organic Contaminant","Sea of Sardinia",1
"Organic Contaminant","Senegal",1
"Organic Contaminant","South Africa",1
"Organic Contaminant","Taiwan",1
"Pathogens","Algeria",1
"Pathogens","Canada",1
"Pathogens","France",1
"Pathogens","Iceland",1
"Pathogens","Israel",1
"Pathogens","Malawi",1
"Pathogens","Mediterranean Sea",1
"Pathogens","Netherlands",1
"Pathogens","Persian Gulf",1
"Pathogens","Qatar",1
"Pathogens","Saudi Arabia",1
"Pathogens","Senegal",1
"Pathogens","Singapore",1
"Pathogens","Slovakia",1
"Pathogens","Switzerland",1
"Pathogens","Tunisia",1
